date,china_return,china_vol,usa_return1,usa1_vol,usa_return2,usa2_vol,euro_return,euro_vol,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility
2013-9-3,0.005896764,0.008139924,-0.01011726,0.016540453,0.006179768,0.007787545,0.006510924,0.008540515,-1.547,-0.145,-0.336,-0.492,-0.343,-0.231
2013-9-4,0.000856865,0.007149429,0.009680618,0.016954896,0.011397918,0.00864465,0.004384876,0.008785347,-1.682,-0.142,-0.366,-0.505,-0.355,-0.314
2013-9-5,-0.004033414,0.006872589,0.010325443,0.017150286,0.002316756,0.008654816,-0.006575255,0.008213676,-1.729,-0.153,-0.388,-0.547,-0.355,-0.286
2013-9-6,-0.00209945,0.006800488,0.014739925,0.012427632,0.000225738,0.004883954,0.006224432,0.009186479,-1.753,-0.143,-0.379,-0.497,-0.346,-0.388
2013-9-9,-0.004591961,0.006457965,0.004449785,0.009948972,0.007420906,0.005108797,0.001642264,0.007235436,-1.936,-0.143,-0.446,-0.507,-0.347,-0.493
2013-9-10,-0.011166466,0.006829659,0.014879643,0.009680978,0.005529762,0.005146409,0.006487264,0.00730211,-2.168,-0.163,-0.513,-0.547,-0.358,-0.587
2013-9-11,0.0103092,0.007128666,0.010827828,0.008656534,0.005517817,0.003579766,0.007991285,0.005010962,-2.279,-0.164,-0.525,-0.534,-0.368,-0.688
2013-9-12,0.002976444,0.006754598,-0.007564702,0.007784524,-0.00236634,0.004620396,-0.002602012,0.005363499,-2.279,-0.173,-0.511,-0.52,-0.37,-0.705
2013-9-13,-0.000743281,0.006703947,0.003887108,0.007906801,0.002181671,0.003413449,-0.003303194,0.00569209,-2.315,-0.169,-0.515,-0.504,-0.361,-0.766
2013-9-16,0.005195163,0.006986448,0.00540213,0.007817895,0.007928447,0.003862476,0.007176454,0.004776538,-2.367,-0.193,-0.545,-0.487,-0.364,-0.778
2013-9-17,-0.004070378,0.007122737,0.000897525,0.00715625,0.001537927,0.00368937,-0.002598702,0.005054952,-2.39,-0.19,-0.535,-0.49,-0.365,-0.81
2013-9-18,-0.008181915,0.007596839,-0.003351633,0.007778968,0.006528105,0.003563235,0.002925333,0.005058285,-2.475,-0.167,-0.581,-0.45,-0.356,-0.921
2013-9-19,4.70E-05,0.006080334,0.020587015,0.009310488,-0.003988386,0.004501935,0.017855851,0.007741466,-2.72,-0.232,-0.62,-0.466,-0.381,-1.021
2013-9-20,0.003417005,0.004678444,-0.009434258,0.010090147,-0.00294228,0.004681567,0.003717906,0.007532647,-2.719,-0.238,-0.585,-0.468,-0.409,-1.019
2013-9-23,-0.002612699,0.004521422,0.000673401,0.009308297,-0.006444705,0.005406898,-0.007718054,0.008400138,-2.648,-0.223,-0.566,-0.444,-0.408,-1.007
2013-9-24,0.00405985,0.004913082,-0.000986205,0.009383675,-0.004264163,0.005652972,-0.000536951,0.00813826,-2.611,-0.192,-0.552,-0.412,-0.431,-1.024
2013-9-25,-0.003457679,0.004354971,0.008984141,0.009694568,-0.007818561,0.004952791,0.000948419,0.007940357,-2.599,-0.182,-0.529,-0.395,-0.457,-1.036
2013-9-26,0.003071134,0.004498277,-0.002148844,0.009844735,0.004520307,0.005458908,0.00035766,0.007725442,-2.647,-0.193,-0.554,-0.407,-0.438,-1.055
2013-9-27,-0.013471665,0.006143073,-0.001842128,0.009722566,-0.000556958,0.004085572,0.004922692,0.007780153,-2.541,-0.177,-0.529,-0.375,-0.433,-1.027
2013-9-30,-0.002353947,0.006123752,-0.0076439,0.005994836,-0.002100665,0.004077193,-0.000551705,0.00406322,-2.12,-0.137,-0.333,-0.373,-0.403,-0.874
